task,rank,feature_index,importance_score,method
community_type,40,56742,7.41357946395874,weight_based
community_type,41,95084,7.4041266441345215,weight_based
community_type,42,89071,7.391909122467041,weight_based
community_type,43,13237,7.361265182495117,weight_based
community_type,44,27423,7.314568996429443,weight_based
community_type,45,2,7.293715953826904,weight_based
community_type,46,44596,7.275449275970459,weight_based
community_type,47,26650,7.269586086273193,weight_based
community_type,48,75809,7.2409749031066895,weight_based
community_type,49,89067,7.238684177398682,weight_based
community_type,50,98039,7.132748126983643,weight_based
community_type,51,102833,7.096721649169922,weight_based
community_type,52,25485,7.082754611968994,weight_based
community_type,53,12288,7.069839000701904,weight_based
community_type,54,80500,7.049365997314453,weight_based
community_type,55,44866,7.0350470542907715,weight_based
community_type,56,76155,6.956849575042725,weight_based
community_type,57,101979,6.953121662139893,weight_based
community_type,58,77505,6.952904224395752,weight_based
community_type,59,72428,6.952303409576416,weight_based
community_type,60,105638,6.944241046905518,weight_based
community_type,61,93178,6.923982620239258,weight_based
community_type,62,59916,6.854494571685791,weight_based
community_type,63,91251,6.848638534545898,weight_based
community_type,64,32598,6.815122127532959,weight_based
community_type,65,86778,6.798573970794678,weight_based
community_type,66,49132,6.764291286468506,weight_based
community_type,67,41490,6.755438327789307,weight_based
community_type,68,59337,6.753509998321533,weight_based
community_type,69,36877,6.720203399658203,weight_based
community_type,70,89125,6.7199859619140625,weight_based
community_type,71,55081,6.692014217376709,weight_based
community_type,72,48012,6.691284656524658,weight_based
community_type,73,87324,6.682773113250732,weight_based
community_type,74,65958,6.6774773597717285,weight_based
community_type,75,105830,6.65211820602417,weight_based
community_type,76,101239,6.632716655731201,weight_based
community_type,77,56992,6.567154407501221,weight_based
community_type,78,80293,6.546079635620117,weight_based
community_type,79,37779,6.537883758544922,weight_based
community_type,80,73964,6.522859573364258,weight_based
community_type,81,99701,6.50068998336792,weight_based
community_type,82,84899,6.479307651519775,weight_based
community_type,83,41500,6.454935073852539,weight_based
community_type,84,53404,6.435511112213135,weight_based
community_type,85,41411,6.425378322601318,weight_based
