task	class	method	rank	feature_index	unitig_id	attribution	unitig_len	n_samples_used
feature	archeological site	gxi	33	47657	3190201	0.006021267268806696	66	11
feature	archeological site	gxi	34	70924	3344861	0.00598382530733943	61	11
feature	archeological site	gxi	35	82514	3401894	-0.005914211273193359	108	11
feature	archeological site	gxi	36	16555	2898126	0.00581570528447628	61	11
feature	archeological site	gxi	37	56021	3255896	0.005802874453365803	96	11
feature	archeological site	gxi	38	44051	3135445	0.005787223111838102	61	11
feature	archeological site	gxi	39	58522	3264681	0.005740470718592405	61	11
feature	archeological site	gxi	40	72226	3350023	0.00573557335883379	76	11
feature	archeological site	gxi	41	50520	3219463	0.005692032165825367	61	11
feature	archeological site	gxi	42	15280	2873027	0.005629423540085554	75	11
feature	archeological site	gxi	43	71907	3349685	0.005379936192184687	104	11
feature	archeological site	gxi	44	32346	3023950	0.005336888134479523	76	11
feature	archeological site	gxi	45	24327	2923573	0.005247178487479687	69	11
feature	archeological site	gxi	46	22484	2917459	0.005145656876266003	61	11
feature	archeological site	gxi	47	4503	2820484	0.00514129176735878	61	11
feature	archeological site	gxi	48	99450	3458162	0.005087690427899361	61	11
feature	archeological site	gxi	49	7239	2827629	0.005022846627980471	138	11
feature	archeological site	gxi	50	87597	3418652	0.005008980631828308	78	11
feature	cave	ig	1	84676	3408017	0.06064081937074661	98	34
feature	cave	ig	2	40242	3086093	0.05863853916525841	73	34
feature	cave	ig	3	101159	3462275	0.053167812526226044	62	34
feature	cave	ig	4	40792	3108998	0.04942077398300171	61	34
feature	cave	ig	5	77085	3385494	0.04740191623568535	65	34
feature	cave	ig	6	26084	2929083	0.045912157744169235	65	34
feature	cave	ig	7	51957	3225071	0.04552546516060829	63	34
feature	cave	ig	8	32145	3023679	0.044474534690380096	67	34
feature	cave	ig	9	69694	3342780	0.04084865376353264	72	34
feature	cave	ig	10	70924	3344861	0.04022689536213875	61	34
feature	cave	ig	11	22484	2917459	0.037673234939575195	61	34
feature	cave	ig	12	10249	2855824	0.036778997629880905	61	34
feature	cave	ig	13	58522	3264681	0.035196453332901	61	34
feature	cave	ig	14	101174	3462342	0.03488955646753311	62	34
feature	cave	ig	15	13212	2865911	0.032717764377593994	61	34
feature	cave	ig	16	71289	3348470	0.03268192708492279	63	34
feature	cave	ig	17	93145	3437749	0.032068684697151184	64	34
feature	cave	ig	18	16555	2898126	0.03042771853506565	61	34
feature	cave	ig	19	37895	3079080	0.030272074043750763	69	34
feature	cave	ig	20	15280	2873027	0.029741602018475533	75	34
feature	cave	ig	21	105411	3476413	0.029620250687003136	87	34
