task	comparison	f1_with_depth	f1_without_depth	delta	ci_low	ci_high	frac_boot_positive	verdict
community_type	frac_pca192 - frac_pca191nd	0.49315041280492744	0.4775272993404901	0.015623113464437344	-0.04898943231792953	0.06422960181610106	0.6815	tie
community_type	pa_pca192 - pa_pca191nd	0.5339688782848361	0.469641350443103	0.06432752784173307	-0.012723477732055668	0.11691927235763752	0.92	tie
feature	frac_pca192 - frac_pca191nd	0.29904686733876273	0.24932815254788518	0.049718714790877555	0.0009280183228651394	0.09641717022532158	0.9795	depth HELPS
feature	pa_pca192 - pa_pca191nd	0.3000008586602324	0.2790736713402351	0.02092718731999732	-0.03523935237191361	0.07579892057136724	0.7285	tie
sample_host	frac_pca192 - frac_pca191nd	0.42612566226089316	0.40335535019495444	0.022770312065938714	-0.0372663894937724	0.04999083302404733	0.71	tie
sample_host	pa_pca192 - pa_pca191nd	0.4133761180389954	0.39430605859670315	0.01907005944229223	-0.03522933403512004	0.04179480300040289	0.709	tie
material	frac_pca192 - frac_pca191nd	0.35865574926345273	0.323887449660468	0.03476829960298472	-0.007339499718007731	0.059132597111150986	0.934	tie
material	pa_pca192 - pa_pca191nd	0.298078498291385	0.35887219726185077	-0.06079369897046577	-0.0896618700328423	-0.0036927462450143662	0.017	depth HURTS
