task	scheme	n_scored	n_planted	recall	false_flag_rate	n_flagged
community_type	global	653	65	0.07692307692307693	0.013605442176870748	13
community_type	per-regime	653	65	0.07692307692307693	0.03741496598639456	27
feature	global	255	13	0.38461538461538464	0.008264462809917356	7
feature	per-regime	255	13	0.38461538461538464	0.008264462809917356	7
sample_host	global	632	44	0.7727272727272727	0.027210884353741496	50
sample_host	per-regime	632	44	0.09090909090909091	0.0	4
material	global	823	70	0.35714285714285715	0.06640106241699867	75
material	per-regime	823	70	0.34285714285714286	0.05312084993359894	64
