task	BioProject	project_name	N_total	N_correct	N_wrong	mean_conf_correct	median_conf_correct	mean_conf_wrong	median_conf_wrong	n_conf_wrong_90	n_conf_wrong_95
material	PRJEB34875	Ottoni2019	10	3	7	0.8021	0.9998	0.2842	0.2707	0	0
material	PRJEB35483	Fagernas2020	5	5	0	0.999	0.999			0	0
material	PRJEB37914	Ardelean2020	6	6	0	0.9988	1.0			0	0
material	PRJEB41240	SeguinOrlando2021	18	12	6	0.6153	0.6124	0.6195	0.5842	0	0
material	PRJEB42014	Brealey2021	38	38	0	0.9639	1.0			0	0
material	PRJEB44163		10	9	1	0.9562	0.9882	0.5067	0.5067	0	0
material	PRJEB46022	Fagernas2022	16	15	1	0.7239	0.8422	0.4072	0.4072	0	0
material	PRJEB64128	Jackson2024	73	11	62	0.5326	0.5552	0.6543	0.7021	0	0
material	PRJNA1037120	Fleskes2024	12	10	2	0.9556	0.9943	0.453	0.453	0	0
material	PRJNA1056444	Austin2024	39	34	5	0.8091	0.8798	0.4706	0.5143	0	0
material	PRJNA255922		10	6	4	0.999	0.9999	0.7229	0.7206	0	0
material	PRJNA354503	Philips2017	12	7	5	0.8396	0.9447	0.6416	0.6455	0	0
material	PRJNA573108	Dommain2020	5	5	0	0.9094	0.9927			0	0
material	PRJNA706195		5	0	5			0.3687	0.3398	0	0
material	PRJNA836960	Madison2023	11	0	11			0.4201	0.3744	0	0
sample_host	PRJNA994900	Kirdok2024	70	29	41	0.5327	0.4824	0.9677	0.9999	38	38
sample_host	PRJEB34569	FellowsYates2021	42	8	34	0.9005	1.0	0.9819	1.0	32	31
sample_host	PRJEB49638	Moraitou2022	20	0	20			0.8966	0.9999	16	16
sample_host	PRJNA1056444	Austin2024	39	24	15	0.8616	0.958	0.8531	0.9935	10	8
sample_host	PRJEB11419		10	4	6	0.9272	0.9995	0.9395	0.9386	5	2
sample_host	PRJEB33363	Brealey2020	5	1	4	1.0	1.0	0.956	0.962	4	3
sample_host	PRJEB61887	Velsko2024	122	97	25	0.9057	1.0	0.4684	0.4004	4	2
sample_host	PRJNA354503	Philips2017	12	9	3	0.979	0.9876	0.9563	0.9638	3	2
sample_host	PRJEB34875	Ottoni2019	10	0	10			0.4699	0.3457	2	2
sample_host	PRJNA791766	Quagliariello2022	9	6	3	0.8457	0.9281	0.7277	0.9994	2	2
sample_host	PRJNA1004851	Murchie2023	8	6	2	0.9956	1.0	0.8663	0.8663	1	0
sample_host	PRJNA48479		19	14	5	0.8764	0.9155	0.7983	0.7564	1	0
sample_host	PRJEB13329	Seersholm2016	13	13	0	1.0	1.0			0	0
sample_host	PRJEB14494	Pedersen2016	5	5	0	0.9693	1.0			0	0
sample_host	PRJEB18629	Slon2017	7	7	0	0.7831	0.8404			0	0
sample_host	PRJEB30280	Jensen2019	9	9	0	0.7724	0.7259			0	0
sample_host	PRJEB30331	Velsko2019	14	14	0	0.9498	1.0			0	0
sample_host	PRJEB33848	Neukamm2020	24	23	1	0.9725	0.9884	0.8565	0.8565	0	0
sample_host	PRJEB35483	Fagernas2020	5	5	0	1.0	1.0			0	0
sample_host	PRJEB37914	Ardelean2020	6	6	0	1.0	1.0			0	0
sample_host	PRJEB40358		5	3	2	0.7452	0.7668	0.6145	0.6145	0	0
sample_host	PRJEB41240	SeguinOrlando2021	18	15	3	0.9087	0.9331	0.5623	0.5765	0	0
sample_host	PRJEB42014	Brealey2021	38	38	0	0.9952	1.0			0	0
sample_host	PRJEB44163		10	10	0	1.0	1.0			0	0
sample_host	PRJEB46022	Fagernas2022	16	13	3	0.8343	0.9998	0.4903	0.504	0	0
sample_host	PRJEB52394	Velsko2022	28	25	3	0.9774	0.9999	0.734	0.8471	0	0
sample_host	PRJEB64128	Jackson2024	73	53	20	0.8673	0.9986	0.5602	0.5534	0	0
sample_host	PRJEB67998	Bozzi2024	19	15	4	0.7833	0.7987	0.6326	0.5752	0	0
sample_host	PRJEB71693		9	8	1	0.9102	0.9392	0.6072	0.6072	0	0
sample_host	PRJEB74036	Liu2024	21	20	1	1.0	1.0	0.2655	0.2655	0	0
sample_host	PRJEB80877	vonHippel2025	46	46	0	1.0	1.0			0	0
sample_host	PRJNA1037120	Fleskes2024	12	11	1	0.9483	1.0	0.6599	0.6599	0	0
sample_host	PRJNA1211513	Schreiber2025	48	48	0	0.9941	0.9994			0	0
sample_host	PRJNA255922		10	10	0	0.8695	0.9189			0	0
sample_host	PRJNA320875	Graham2016	12	11	1	0.9934	0.9995	0.4796	0.4796	0	0
sample_host	PRJNA336855		11	11	0	1.0	1.0			0	0
sample_host	PRJNA380727		5	5	0	0.8123	0.8207			0	0
sample_host	PRJNA433935		5	0	5			0.6175	0.5991	0	0
sample_host	PRJNA445215	Mann2018	12	12	0	0.9193	0.9722			0	0
sample_host	PRJNA558683	Armbrecht2020	7	7	0	1.0	1.0			0	0
sample_host	PRJNA573108	Dommain2020	5	5	0	0.9414	0.999			0	0
sample_host	PRJNA706195		5	4	1	0.3579	0.3266	0.3217	0.3217	0	0
sample_host	PRJNA836960	Madison2023	11	0	11			0.6552	0.6504	0	0
sample_host	PRJNA861836	Armbrecht2022	6	6	0	0.8869	1.0			0	0
sample_host	Unknown	MGYS00006821	9	9	0	0.7582	0.7149			0	0
sample_type	PRJEB11419		10	0	10			0.0	0.0	0	0
sample_type	PRJEB13329	Seersholm2016	13	13	0	0.0	0.0			0	0
sample_type	PRJEB14494	Pedersen2016	5	5	0	0.0	0.0			0	0
sample_type	PRJEB18629	Slon2017	7	7	0	0.0	0.0			0	0
sample_type	PRJEB30280	Jensen2019	9	3	6	0.0	0.0	0.0	0.0	0	0
sample_type	PRJEB30331	Velsko2019	14	14	0	0.0	0.0			0	0
sample_type	PRJEB33363	Brealey2020	5	5	0	0.0	0.0			0	0
sample_type	PRJEB33848	Neukamm2020	24	24	0	0.0	0.0			0	0
sample_type	PRJEB34569	FellowsYates2021	42	40	2	0.0	0.0	0.0	0.0	0	0
sample_type	PRJEB34875	Ottoni2019	10	10	0	0.0	0.0			0	0
sample_type	PRJEB35483	Fagernas2020	5	5	0	0.0	0.0			0	0
sample_type	PRJEB37914	Ardelean2020	6	6	0	0.0	0.0			0	0
sample_type	PRJEB40358		5	4	1	0.0	0.0	0.0	0.0	0	0
sample_type	PRJEB41240	SeguinOrlando2021	18	18	0	0.0	0.0			0	0
sample_type	PRJEB42014	Brealey2021	38	38	0	0.0	0.0			0	0
sample_type	PRJEB44163		10	3	7	0.0	0.0	0.0	0.0	0	0
sample_type	PRJEB46022	Fagernas2022	16	14	2	0.0	0.0	0.0	0.0	0	0
sample_type	PRJEB49638	Moraitou2022	20	16	4	0.0	0.0	0.0	0.0	0	0
sample_type	PRJEB52394	Velsko2022	28	28	0	0.0	0.0			0	0
sample_type	PRJEB61887	Velsko2024	122	118	4	0.0	0.0	0.0	0.0	0	0
sample_type	PRJEB64128	Jackson2024	73	68	5	0.0	0.0	0.0	0.0	0	0
sample_type	PRJEB67998	Bozzi2024	19	13	6	0.0	0.0	0.0	0.0	0	0
sample_type	PRJEB71693		9	8	1	0.0	0.0	0.0	0.0	0	0
sample_type	PRJEB74036	Liu2024	21	21	0	0.0	0.0			0	0
sample_type	PRJEB80877	vonHippel2025	46	46	0	0.0	0.0			0	0
sample_type	PRJNA1004851	Murchie2023	8	8	0	0.0	0.0			0	0
sample_type	PRJNA1037120	Fleskes2024	12	12	0	0.0	0.0			0	0
sample_type	PRJNA1056444	Austin2024	39	37	2	0.0	0.0	0.0	0.0	0	0
sample_type	PRJNA1211513	Schreiber2025	48	48	0	0.0	0.0			0	0
sample_type	PRJNA255922		10	8	2	0.0	0.0	0.0	0.0	0	0
sample_type	PRJNA320875	Graham2016	12	12	0	0.0	0.0			0	0
sample_type	PRJNA336855		11	9	2	0.0	0.0	0.0	0.0	0	0
sample_type	PRJNA354503	Philips2017	12	12	0	0.0	0.0			0	0
sample_type	PRJNA380727		5	5	0	0.0	0.0			0	0
sample_type	PRJNA433935		5	5	0	0.0	0.0			0	0
sample_type	PRJNA445215	Mann2018	12	12	0	0.0	0.0			0	0
sample_type	PRJNA48479		19	15	4	0.0	0.0	0.0	0.0	0	0
sample_type	PRJNA558683	Armbrecht2020	7	7	0	0.0	0.0			0	0
sample_type	PRJNA573108	Dommain2020	5	5	0	0.0	0.0			0	0
sample_type	PRJNA706195		5	0	5			0.0	0.0	0	0
sample_type	PRJNA791766	Quagliariello2022	9	8	1	0.0	0.0	0.0	0.0	0	0
sample_type	PRJNA836960	Madison2023	11	9	2	0.0	0.0	0.0	0.0	0	0
sample_type	PRJNA861836	Armbrecht2022	6	6	0	0.0	0.0			0	0
sample_type	PRJNA994900	Kirdok2024	70	39	31	0.0	0.0	0.0	0.0	0	0
sample_type	Unknown	MGYS00006821	9	5	4	0.0	0.0	0.0	0.0	0	0
