task	model	params	mean_f1_eligible	n_folds
sample_host	RandomForest_Bal	"{""n_estimators"": 300, ""max_features"": 0.05, ""min_samples_leaf"": 1}"	0.7252975485522941	5
sample_host	RandomForest_Bal	"{""n_estimators"": 300, ""max_features"": 0.05, ""min_samples_leaf"": 3}"	0.7356964018879525	5
sample_host	RandomForest_Bal	"{""n_estimators"": 800, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"	0.7334212091602421	5
sample_host	RandomForest_Bal	"{""n_estimators"": 800, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3}"	0.747020148596677	5
sample_host	RandomForest_Bal	"{""n_estimators"": 800, ""max_features"": 0.05, ""min_samples_leaf"": 1}"	0.7262860550942293	5
sample_host	RandomForest_Bal	"{""n_estimators"": 800, ""max_features"": 0.05, ""min_samples_leaf"": 3}"	0.7368642589104482	5
sample_host	kNN	"{""n_neighbors"": 1, ""weights"": ""uniform""}"	0.7517340044006721	5
sample_host	kNN	"{""n_neighbors"": 1, ""weights"": ""distance""}"	0.7517340044006721	5
sample_host	kNN	"{""n_neighbors"": 3, ""weights"": ""uniform""}"	0.7180878198849998	5
sample_host	kNN	"{""n_neighbors"": 3, ""weights"": ""distance""}"	0.7192311093903584	5
sample_host	kNN	"{""n_neighbors"": 5, ""weights"": ""uniform""}"	0.7229168340912945	5
sample_host	kNN	"{""n_neighbors"": 5, ""weights"": ""distance""}"	0.727291114952577	5
sample_host	kNN	"{""n_neighbors"": 10, ""weights"": ""uniform""}"	0.7262656198046734	5
sample_host	kNN	"{""n_neighbors"": 10, ""weights"": ""distance""}"	0.731008391783505	5
sample_host	kNN	"{""n_neighbors"": 20, ""weights"": ""uniform""}"	0.6819746378235496	5
sample_host	kNN	"{""n_neighbors"": 20, ""weights"": ""distance""}"	0.6854453898383864	5
material	LogisticRegression_Bal	"{""C"": 0.01}"	0.46234606165502107	5
material	LogisticRegression_Bal	"{""C"": 0.1}"	0.49673870856578634	5
material	LogisticRegression_Bal	"{""C"": 1.0}"	0.4907944048675268	5
material	LogisticRegression_Bal	"{""C"": 10.0}"	0.47353935321541546	5
material	LinearSVM_Bal	"{""C"": 0.001}"	0.48527797876538764	5
material	LinearSVM_Bal	"{""C"": 0.01}"	0.4959531643985285	5
material	LinearSVM_Bal	"{""C"": 0.1}"	0.4677851752022014	5
material	LinearSVM_Bal	"{""C"": 1.0}"	0.4422994219544183	5
material	RandomForest_Bal	"{""n_estimators"": 300, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"	0.4297328364254791	5
