task,rank,feature_index,importance_score,method
community_type,39,48061,5.993249416351318,weight_based
community_type,40,89129,5.971138000488281,weight_based
community_type,41,74301,5.9025139808654785,weight_based
community_type,42,80500,5.895755767822266,weight_based
community_type,43,35300,5.893794536590576,weight_based
community_type,44,104523,5.869064807891846,weight_based
community_type,45,50999,5.854130268096924,weight_based
community_type,46,84899,5.817432403564453,weight_based
community_type,47,58162,5.8062872886657715,weight_based
community_type,48,65915,5.783117771148682,weight_based
community_type,49,11757,5.7402663230896,weight_based
community_type,50,0,5.730165481567383,weight_based
community_type,51,24065,5.726328372955322,weight_based
community_type,52,98913,5.690440654754639,weight_based
community_type,53,98039,5.617425441741943,weight_based
community_type,54,23473,5.563755035400391,weight_based
community_type,55,30473,5.51421594619751,weight_based
community_type,56,36992,5.502740383148193,weight_based
community_type,57,79362,5.491917133331299,weight_based
community_type,58,89071,5.479940891265869,weight_based
community_type,59,24177,5.476921081542969,weight_based
community_type,60,92740,5.464653015136719,weight_based
community_type,61,15532,5.44297456741333,weight_based
community_type,62,46535,5.442641735076904,weight_based
community_type,63,89067,5.4221625328063965,weight_based
community_type,64,58389,5.418640613555908,weight_based
community_type,65,56264,5.40521240234375,weight_based
community_type,66,101923,5.395627498626709,weight_based
community_type,67,28984,5.391486644744873,weight_based
community_type,68,13564,5.353183269500732,weight_based
community_type,69,13014,5.34039831161499,weight_based
community_type,70,43821,5.330148220062256,weight_based
community_type,71,97175,5.3091254234313965,weight_based
community_type,72,34721,5.276432514190674,weight_based
community_type,73,76169,5.275454998016357,weight_based
community_type,74,35835,5.244300842285156,weight_based
community_type,75,63504,5.179980754852295,weight_based
community_type,76,76265,5.176808834075928,weight_based
community_type,77,59122,5.170168399810791,weight_based
community_type,78,59337,5.1627936363220215,weight_based
community_type,79,64069,5.162343502044678,weight_based
community_type,80,85169,5.155203342437744,weight_based
community_type,81,1312,5.154367923736572,weight_based
community_type,82,59136,5.134318828582764,weight_based
community_type,83,94266,5.104284286499023,weight_based
community_type,84,55208,5.091736316680908,weight_based
community_type,85,82952,5.076180934906006,weight_based
community_type,86,94419,5.058620929718018,weight_based
community_type,87,65860,5.047118663787842,weight_based
community_type,88,96007,5.038991451263428,weight_based
community_type,89,41490,5.037821292877197,weight_based
community_type,90,51145,5.031102180480957,weight_based
community_type,91,78980,5.010806560516357,weight_based
community_type,92,62765,5.007289886474609,weight_based
community_type,93,15887,4.994514465332031,weight_based
community_type,94,63664,4.993828773498535,weight_based
community_type,95,6916,4.9888081550598145,weight_based
community_type,96,49132,4.982115268707275,weight_based
community_type,97,78153,4.977844715118408,weight_based
community_type,98,100084,4.955894947052002,weight_based
community_type,99,76270,4.954018592834473,weight_based
community_type,100,17428,4.942972183227539,weight_based
sample_host,1,73483,17.9626407623291,weight_based
sample_host,2,42769,16.302602767944336,weight_based
sample_host,3,83926,12.4568452835083,weight_based
sample_host,4,58044,11.219176292419434,weight_based
sample_host,5,48083,10.177748680114746,weight_based
sample_host,6,61486,10.156071662902832,weight_based
sample_host,7,4006,9.996234893798828,weight_based
sample_host,8,12332,9.561888694763184,weight_based
sample_host,9,79805,9.361273765563965,weight_based
sample_host,10,63713,9.0768461227417,weight_based
sample_host,11,55081,8.967854499816895,weight_based
sample_host,12,2,8.581595420837402,weight_based
sample_host,13,58162,8.579455375671387,weight_based
sample_host,14,89128,8.41522216796875,weight_based
sample_host,15,6093,8.37048053741455,weight_based
sample_host,16,59337,8.258584022521973,weight_based
sample_host,17,37779,8.24935245513916,weight_based
sample_host,18,95320,8.175469398498535,weight_based
sample_host,19,83289,8.125003814697266,weight_based
sample_host,20,84899,8.119624137878418,weight_based
sample_host,21,11014,8.0236177444458,weight_based
sample_host,22,23373,7.947385787963867,weight_based
sample_host,23,49132,7.880794048309326,weight_based
sample_host,24,6909,7.859529972076416,weight_based
sample_host,25,97781,7.8123040199279785,weight_based
sample_host,26,41717,7.656805038452148,weight_based
sample_host,27,56352,7.5514092445373535,weight_based
sample_host,28,27398,7.47368049621582,weight_based
sample_host,29,13237,7.419830322265625,weight_based
sample_host,30,22241,7.407032012939453,weight_based
sample_host,31,79362,7.372412204742432,weight_based
sample_host,32,93178,7.352489471435547,weight_based
sample_host,33,25392,7.28412389755249,weight_based
sample_host,34,17428,7.233565807342529,weight_based
sample_host,35,98913,7.089436054229736,weight_based
sample_host,36,32,7.07457160949707,weight_based
sample_host,37,32725,7.055495738983154,weight_based
sample_host,38,56264,7.022531986236572,weight_based
sample_host,39,82952,7.010257720947266,weight_based
sample_host,40,86778,6.912829875946045,weight_based
sample_host,41,46190,6.9011549949646,weight_based
sample_host,42,61028,6.875396728515625,weight_based
sample_host,43,28984,6.8543782234191895,weight_based
sample_host,44,83375,6.846837520599365,weight_based
sample_host,45,89129,6.836862087249756,weight_based
sample_host,46,31092,6.790295124053955,weight_based
sample_host,47,43821,6.778436660766602,weight_based
sample_host,48,55805,6.7495245933532715,weight_based
sample_host,49,39027,6.722311496734619,weight_based
sample_host,50,100084,6.714348316192627,weight_based
sample_host,51,83004,6.695454120635986,weight_based
sample_host,52,0,6.6702141761779785,weight_based
sample_host,53,61517,6.6361918449401855,weight_based
sample_host,54,63504,6.6326422691345215,weight_based
sample_host,55,65958,6.6275763511657715,weight_based
sample_host,56,11757,6.608287334442139,weight_based
sample_host,57,12309,6.583479404449463,weight_based
sample_host,58,78153,6.563844680786133,weight_based
sample_host,59,86870,6.561420917510986,weight_based
sample_host,60,48145,6.554302215576172,weight_based
sample_host,61,105638,6.4959716796875,weight_based
sample_host,62,35835,6.461106777191162,weight_based
sample_host,63,81588,6.4385247230529785,weight_based
sample_host,64,78980,6.428056240081787,weight_based
sample_host,65,98039,6.400012969970703,weight_based
sample_host,66,70036,6.397010326385498,weight_based
sample_host,67,52750,6.396975040435791,weight_based
sample_host,68,76265,6.336602687835693,weight_based
sample_host,69,46535,6.336500644683838,weight_based
sample_host,70,76169,6.3066325187683105,weight_based
sample_host,71,62765,6.2798943519592285,weight_based
sample_host,72,66093,6.26303243637085,weight_based
sample_host,73,104523,6.258656978607178,weight_based
sample_host,74,48192,6.238230228424072,weight_based
sample_host,75,79937,6.222780704498291,weight_based
sample_host,76,13014,6.220160007476807,weight_based
sample_host,77,89071,6.183725833892822,weight_based
sample_host,78,41490,6.182824611663818,weight_based
sample_host,79,74301,6.1526408195495605,weight_based
sample_host,80,6059,6.148854732513428,weight_based
sample_host,81,1775,6.133703231811523,weight_based
sample_host,82,53107,6.125188827514648,weight_based
sample_host,83,51145,6.031737804412842,weight_based
sample_host,84,58389,6.008907794952393,weight_based
sample_host,85,72428,5.988619327545166,weight_based
sample_host,86,102879,5.976696491241455,weight_based
sample_host,87,92564,5.9731316566467285,weight_based
sample_host,88,1753,5.96403694152832,weight_based
sample_host,89,48061,5.935191631317139,weight_based
sample_host,90,92584,5.899181842803955,weight_based
sample_host,91,72671,5.876592636108398,weight_based
sample_host,92,57899,5.873651027679443,weight_based
sample_host,93,405,5.86882209777832,weight_based
sample_host,94,61644,5.8681206703186035,weight_based
sample_host,95,76352,5.857837677001953,weight_based
sample_host,96,59122,5.805446147918701,weight_based
sample_host,97,55247,5.803653717041016,weight_based
sample_host,98,12247,5.800582408905029,weight_based
sample_host,99,89923,5.800355434417725,weight_based
sample_host,100,51177,5.799932479858398,weight_based
material,1,73483,15.864889144897461,weight_based
material,2,42769,14.96599292755127,weight_based
material,3,58044,13.870478630065918,weight_based
material,4,83926,12.780409812927246,weight_based
material,5,48083,11.942293167114258,weight_based
material,6,61486,11.796233177185059,weight_based
material,7,58162,9.834754943847656,weight_based
material,8,53107,8.942804336547852,weight_based
material,9,55081,8.895527839660645,weight_based
material,10,23373,8.805452346801758,weight_based
material,11,11014,8.722015380859375,weight_based
material,12,89128,8.580706596374512,weight_based
material,13,101923,8.549114227294922,weight_based
material,14,2,8.393988609313965,weight_based
material,15,79805,8.338621139526367,weight_based
material,16,89071,8.122279167175293,weight_based
material,17,76265,8.119698524475098,weight_based
material,18,25392,8.03492546081543,weight_based
material,19,93178,8.007494926452637,weight_based
material,20,98913,7.9201531410217285,weight_based
material,21,37779,7.904469013214111,weight_based
material,22,22241,7.899502277374268,weight_based
