task,rank,feature_index,importance_score,method
sample_type,1,42769,0.42524072527885437,gradient_based
sample_type,2,73483,0.3587031066417694,gradient_based
sample_type,3,4006,0.31427446007728577,gradient_based
sample_type,4,61486,0.313173770904541,gradient_based
sample_type,5,34226,0.3074398338794708,gradient_based
sample_type,6,81434,0.2862650752067566,gradient_based
sample_type,7,17198,0.28555622696876526,gradient_based
sample_type,8,55208,0.2699987590312958,gradient_based
sample_type,9,74184,0.2673768699169159,gradient_based
sample_type,10,83289,0.25920021533966064,gradient_based
sample_type,11,32293,0.25658950209617615,gradient_based
sample_type,12,2732,0.2563627362251282,gradient_based
sample_type,13,58044,0.2523319125175476,gradient_based
sample_type,14,61060,0.25053563714027405,gradient_based
sample_type,15,11194,0.24920234084129333,gradient_based
sample_type,16,60405,0.2460428923368454,gradient_based
sample_type,17,23230,0.23933714628219604,gradient_based
sample_type,18,80915,0.2384921908378601,gradient_based
sample_type,19,25485,0.23615172505378723,gradient_based
sample_type,20,83926,0.2337832897901535,gradient_based
sample_type,21,12332,0.23298393189907074,gradient_based
sample_type,22,1305,0.23244673013687134,gradient_based
sample_type,23,44596,0.23070211708545685,gradient_based
sample_type,24,70036,0.22903510928153992,gradient_based
sample_type,25,14338,0.2243095487356186,gradient_based
sample_type,26,53353,0.22289712727069855,gradient_based
sample_type,27,3041,0.22136914730072021,gradient_based
sample_type,28,93178,0.21740923821926117,gradient_based
sample_type,29,81533,0.21551375091075897,gradient_based
sample_type,30,41110,0.21409672498703003,gradient_based
sample_type,31,53107,0.20778629183769226,gradient_based
sample_type,32,94266,0.2055070698261261,gradient_based
sample_type,33,41084,0.20549418032169342,gradient_based
sample_type,34,55247,0.20545169711112976,gradient_based
sample_type,35,54110,0.2053445428609848,gradient_based
sample_type,36,63713,0.20360352098941803,gradient_based
sample_type,37,37779,0.2022986114025116,gradient_based
sample_type,38,62885,0.20212477445602417,gradient_based
sample_type,39,106873,0.20191995799541473,gradient_based
sample_type,40,27032,0.2017117142677307,gradient_based
sample_type,41,89294,0.2012358456850052,gradient_based
sample_type,42,92889,0.20120437443256378,gradient_based
sample_type,43,87006,0.2008141428232193,gradient_based
sample_type,44,105395,0.20063531398773193,gradient_based
sample_type,45,61739,0.20051561295986176,gradient_based
sample_type,46,11007,0.19988787174224854,gradient_based
sample_type,47,56352,0.19964639842510223,gradient_based
sample_type,48,89078,0.19887319207191467,gradient_based
sample_type,49,48067,0.19655878841876984,gradient_based
sample_type,50,24825,0.19637423753738403,gradient_based
sample_type,51,60481,0.19558680057525635,gradient_based
sample_type,52,101396,0.1952092945575714,gradient_based
sample_type,53,30315,0.19485801458358765,gradient_based
sample_type,54,48083,0.19400134682655334,gradient_based
sample_type,55,4825,0.1939113438129425,gradient_based
sample_type,56,96496,0.19390304386615753,gradient_based
sample_type,57,42855,0.1936669498682022,gradient_based
sample_type,58,36410,0.1935351938009262,gradient_based
sample_type,59,102326,0.1926632672548294,gradient_based
sample_type,60,92828,0.19256995618343353,gradient_based
sample_type,61,15872,0.19115647673606873,gradient_based
sample_type,62,99287,0.19102397561073303,gradient_based
sample_type,63,24983,0.19102272391319275,gradient_based
sample_type,64,473,0.19093738496303558,gradient_based
sample_type,65,54628,0.19071316719055176,gradient_based
