task,n,top1_pct,top3_pct,n_projects,n_raw_reads,ci_width_inflation
community_type,653,36.447166921898926,58.80551301684533,25,86,5.551939842684592
feature,263,31.55893536121673,74.1444866920152,9,7,6.700328440993519
sample_host,652,36.50306748466258,58.895705521472394,25,86,7.253789949757485
material,822,28.953771289537713,48.29683698296837,31,19,7.747625545405268
