task	roc_auc	average_precision	n_scored	n_planted	n_unscorable_by_probability	n_unscorable_that_were_planted	embedding_dim	tpr_at_fpr5	tpr_at_fpr10
community_type	0.6429094714809	0.14459767327389406	653	65	0	0	64	0.046153846153846156	0.09230769230769231
feature	0.7456994482310938	0.30255055518915674	263	26	20	0	256	0.15384615384615385	0.19230769230769232
sample_host	0.7372035119905648	0.2095670824244869	652	65	1	0	384	0.12307692307692308	0.15384615384615385
material	0.7199076091693541	0.22696135988015823	822	77	87	0	64	0.2727272727272727	0.3246753246753247
