Task,Train_N,Train_Acc,Train_Bal_Acc,Train_F1_W,Train_Prec,Train_Recall,Test_N,Test_Acc,Test_Bal_Acc,Test_F1_W,Test_Prec,Test_Recall,Val_N,Val_Acc,Val_Bal_Acc,Val_F1_W,Val_Prec,Val_Recall
Sample Type (ancient/modern),2609,98.7,92.1,98.6,98.2,92.1,461,99.8,98.7,99.8,99.9,98.7,608 (seen),93.1,93.1,96.4,50.0,93.1
Community Type,2609,97.5,97.7,97.5,98.5,97.7,461,98.9,99.6,98.9,98.0,99.6,608 (seen),70.7,46.8,65.1,49.2,46.8
Sample Host (species),2609,97.9,94.1,97.8,97.8,94.1,461,99.1,98.7,99.1,99.0,98.7,538 (seen),80.9,63.4,83.5,61.2,63.4
Material,2609,97.5,94.2,97.4,95.8,94.2,461,98.7,90.9,98.6,88.4,90.9,508 (seen),75.2,69.7,63.4,26.0,69.7
