archive_accession	Run_accession	sample_type	status	sample_name	project_name	publication_year	geo_loc_name	material	sample_host	community_type	total_runs_for_sample	available_runs_for_sample	unavailable_runs_for_sample	unitig_size_gb	Assay Type	BioProject	BioSample	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA Study	Type	Isolation source	Avg_read_len	Avg_num_reads	seqstats_contigs_n50	seqstats_contigs_nbseq	seqstats_contigs_maxlen	seqstats_contigs_sumlen	seqstats_unitigs_n50	seqstats_unitigs_maxlen	seqstats_unitigs_sumlen	size_contigs_after_compression	size_contigs_before_compression	size_unitigs_before_compression	size_unitigs_after_compression	sample_title	scientific_name	library_strategy	library_source	isolation_source
	ERR3307050	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.4636718388646841	WGS	PRJEB31185	SAMEA5591553	MPI SCIENCE OF HUMAN HIST	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX3333075	NextSeq 500	PAIRED	RANDOM	GENOMIC	metagenome	ILLUMINA	2019-05-05T00:00:00Z	ERP113706	mMetagenome	Not declared	43.47	47839599.0	554.0	393186.0	41859.0	116687239.0	40.0	1820.0	813945552.0	40396255.0	138773456.0	1970661251.0	475306440.0	JAE012_humfilt	metagenome	WGS	GENOMIC	
	ERR3307051	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.4067344442009926	WGS	PRJEB31185	SAMEA5591554	MPI SCIENCE OF HUMAN HIST	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX3333076	NextSeq 500	PAIRED	RANDOM	GENOMIC	metagenome	ILLUMINA	2019-05-05T00:00:00Z	ERP113706	mMetagenome	Not declared	0.0	31295281.0												JAE013_humfilt	metagenome	WGS	GENOMIC	
	ERR3307052	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.795894312672317	WGS	PRJEB31185	SAMEA5591555	MPI SCIENCE OF HUMAN HIST	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX3333077	NextSeq 500	PAIRED	RANDOM	GENOMIC	metagenome	ILLUMINA	2019-05-05T00:00:00Z	ERP113706	mMetagenome	Not declared	44.47	53238754.0	214.0	1689142.0	10482.0	196701007.0	43.0	1449.0	1383754953.0	85351260.0	300641802.0	3257776544.0	818427163.0	JAE014_humfilt	metagenome	WGS	GENOMIC	
	ERR3307053	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.5987739954143763	WGS	PRJEB31185	SAMEA5591556	MPI SCIENCE OF HUMAN HIST	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX3333078	NextSeq 500	PAIRED	RANDOM	GENOMIC	metagenome	ILLUMINA	2019-05-05T00:00:00Z	ERP113706	mMetagenome	Not declared	44.07	45398636.0	304.0	926516.0	12476.0	143400674.0	42.0	1580.0	1045670893.0	57529681.0	198642397.0	2494639288.0	615076092.0	JAE015_humfilt	metagenome	WGS	GENOMIC	
	ERR3307054	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.5249224193394184	WGS	PRJEB31185	SAMEA5591557	MPI SCIENCE OF HUMAN HIST	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX3333079	NextSeq 500	PAIRED	RANDOM	GENOMIC	metagenome	ILLUMINA	2019-05-05T00:00:00Z	ERP113706	mMetagenome	Not declared	0.0	73800335.0												JAE016_humfilt	metagenome	WGS	GENOMIC	
	ERR3579819	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.7364382585510612	WGS	PRJEB34569	SAMEA5971642	MPI SCIENCE OF HUMAN HIST	public	sra,fastq	gs,ncbi,s3	ncbi.public,gs.US,s3.us-east-1	ERX3577118	NextSeq 500	PAIRED	RANDOM	METAGENOMIC	Homo sapiens	ILLUMINA	2021-04-28T00:00:00Z	ERP117493	mMetagenome	Calculus	51.61	34014564.0	326.0	1293951.0	13902.0	242666036.0	54.0	1416.0	1204117317.0	92600613.0	318388620.0	2754075509.0	757961832.0	Dental calculus from Modern Human tooth	Homo sapiens	WGS	METAGENOMIC	modern day dental calculus
	ERR3579820	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.6098293270915747	WGS	PRJEB34569	SAMEA5971643	MPI SCIENCE OF HUMAN HIST	public	fastq,sra	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	ERX3577119	NextSeq 500	PAIRED	RANDOM	METAGENOMIC	Homo sapiens	ILLUMINA	2021-04-28T00:00:00Z	ERP117493	mMetagenome	Calculus	49.13	15841120.0	221.0	768793.0	7853.0	116009114.0	51.0	701.0	1011036810.0	46557967.0	160242956.0	2331155500.0	625958388.0	Dental calculus from Modern Human tooth	Homo sapiens	WGS	METAGENOMIC	modern day dental calculus
	ERR3579821	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.3615323510020971	WGS	PRJEB34569	SAMEA5971644	MPI SCIENCE OF HUMAN HIST	public	sra,fastq	s3,gs,ncbi	s3.us-east-1,ncbi.public,gs.US	ERX3577120	NextSeq 500	PAIRED	RANDOM	METAGENOMIC	Homo sapiens	ILLUMINA	2021-04-28T00:00:00Z	ERP117493	mMetagenome	Calculus	46.68	26165856.0	307.0	642977.0	9746.0	119396974.0	48.0	932.0	999431300.0			1427662176.0	430120769.0	Dental calculus from Modern Human tooth	Homo sapiens	WGS	METAGENOMIC	modern day dental calculus
	ERR3579822	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.8039911212399602	WGS	PRJEB34569	SAMEA5971645	MPI SCIENCE OF HUMAN HIST	public	sra,fastq	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	ERX3577121	NextSeq 500	PAIRED	RANDOM	METAGENOMIC	Homo sapiens	ILLUMINA	2021-04-28T00:00:00Z	ERP117493	mMetagenome	Calculus	46.96	43443020.0		0.0		0.0	47.0	1733.0	2217520327.0			3169533358.0	958146527.0	Dental calculus from Modern Human tooth	Homo sapiens	WGS	METAGENOMIC	modern day dental calculus
	ERR3579823	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				1.6492386655882	WGS	PRJEB34569	SAMEA5971646	MPI SCIENCE OF HUMAN HIST	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3577122	NextSeq 500	PAIRED	RANDOM	METAGENOMIC	Homo sapiens	ILLUMINA	2021-04-28T00:00:00Z	ERP117493	mMetagenome	Calculus	45.53	44348880.0	188.0	2475923.0	13488.0	269358097.0	45.0	820.0	2540583349.0	121496185.0	427568975.0	6323985854.0	1659144459.0	Dental calculus from Modern Human tooth	Homo sapiens	WGS	METAGENOMIC	modern day dental calculus
