,length,gc_content,n_content
count,107480.0,107480.0,107480.0
mean,151.92423706736136,60.06808196393493,0.0
std,385.93963267515244,11.597936887617662,0.0
min,61.0,12.162162162162163,0.0
25%,71.0,52.85714285714286,0.0
50%,93.0,61.79775280898876,0.0
75%,147.0,68.40438087145351,0.0
max,38188.0,89.55223880597015,0.0
