n_samples_present,mean_value,max_value
1867,0.49643627,1.0
1777,0.33795485,1.0
1671,0.21989243,1.0
1666,0.42480132,1.0
1650,0.44726387,1.0
1647,0.3168437,1.0
1612,0.19235182,1.0
1611,0.38574877,1.0
1605,0.2077686,1.0
1603,0.19268411,1.0
1600,0.23648581,1.0
1593,0.30129957,1.0
1583,0.3592194,1.0
1568,0.33685982,1.0
1566,0.16330943,1.0
1566,0.22240421,1.0
1562,0.21709156,1.0
1558,0.16170003,1.0
1554,0.34741685,1.0
1550,0.23379126,1.0
